Station,X,Y,Z
1.37223565843669E-13,4002.01523403,3805.44179327,650
25,4025.26031395433,3814.64322029582,650.281512911945
50,4048.50539387866,3823.84464732165,650.56302582389
75,4071.75047380299,3833.04607434747,650.844538735835
100,4094.99555372732,3842.2475013733,651.126051647779
125,4118.24063365164,3851.44892839912,651.407564559724
150,4141.48571357597,3860.65035542494,651.689077471669
175,4164.7307935003,3869.85178245077,651.970590383614
190.6,4179.23572337308,3875.59347291488,652.146254440668
200,4187.97587342463,3879.05320947659,652.252103295559
225,4211.22095334896,3888.25463650242,652.533616207504
250,4234.46603327329,3897.45606352824,652.815129119449
275,4257.71111319762,3906.65749055406,653.096642031394
300,4280.95619312195,3915.85891757989,653.378154943338
316,4295.83304427352,3921.74783087641,653.558323206983
325,4304.20127304628,3925.06034460571,653.659667855283
350,4327.4463529706,3934.26177163153,653.941180767228
375,4350.69143289493,3943.46319865736,654.222693679173
399.5,4373.47161122078,3952.48059714267,654.498576332879
400,4373.93651281926,3952.66462568318,654.504206591118
425,4397.18159274359,3961.86605270901,654.785719503063
450,4420.42667266792,3971.06747973483,655.067232415008
475,4443.67175259225,3980.26890676065,655.348745326953
483.1,4451.20315848773,3983.25016911702,655.439955510423
489.229321706841,4456.90222140603,3985.50610937315,655.5089748385
490,4457.61880054685,3985.78976297615,655.517587724531
500,4466.91683251658,3989.47033378648,655.617494358848
510,4476.21486448631,3993.15090459681,655.695395728245
520,4485.51289645604,3996.83147540714,655.751291832722
525,4490.16191244091,3998.6717608123,655.770987910615
530,4494.81092842577,4000.51204621747,655.785182672279
540,4504.1089603955,4004.1926170278,655.797068246916
549.516994701678,4512.95789249468,4007.6954143179,655.787943107519
550,4513.40695932969,4007.87327126389,655.786948556633
560,4522.68936222855,4011.59301632605,655.75482360143
570,4531.94287736009,4015.38405373219,655.700693381308
575,4536.55863083841,4017.30623712846,655.665376296901
580,4541.16695718174,4019.24615916165,655.624557896265
590,4550.36105589263,4023.17910408862,655.526417146302
600,4559.52462946596,4027.18265579561,655.406271131419
608.4,4567.19804470773,4030.60003096217,655.288342810187
610,4568.6571356811,4031.25657738725,655.264119851616
620,4577.75803415573,4035.40062780426,655.099963306894
624.5,4581.84298289485,4037.28826484002,655.018913644088
625,4582.29646213141,4037.49887485621,655.009633060187
630,4586.82678637781,4039.61456183778,654.913801497251
640,4595.86285573743,4043.89813014382,654.705634422688
650,4604.86570755855,4048.25107925806,654.475462083205
652.625325176596,4607.22367721137,4049.4053361865,654.411387472636
675,4627.22401939018,4059.43529271675,653.858840247335
700,4649.36312927466,4071.04737918614,653.241460073475
725,4671.27484992368,4083.0830443879,652.624079899615
750,4692.95107814,4095.53783739957,652.006699725755
775,4714.38379781408,4108.40715230062,651.389319551896
800,4735.56508288852,4121.68622987569,650.771939378036
825,4756.48710028926,4135.37015937466,650.154559204176
850,4777.14211282228,4149.45388032867,649.537179030316
875,4797.52248203492,4163.93218442156,648.919798856457
900,4817.62067104067,4178.79971741593,648.302418682597
925,4837.42924730639,4194.05098113324,647.685038508737
933.576853736007,4844.1570134051,4199.3706913222,647.473231330709
950,4856.94088540094,4209.68033548706,647.067658334877
957.347992596562,4862.61822422543,4214.3451693878,646.886198137006
960,4864.66077790105,4216.03665255679,646.821907605139
970,4872.33154773861,4222.45216477356,646.601096510516
975,4876.1483697042,4225.68200056884,646.50350180496
980,4879.95274102415,4228.92649252313,646.414447660573
990,4887.5239068017,4235.45925271107,646.26196105531
1000,4895.04459707551,4242.05005878543,646.143636694727
1010,4902.5143668365,4248.6985207596,646.059474578823
1020,4909.93277408865,4255.40424523542,646.0094747076
1025,4913.62257948047,4258.77845704739,645.997285613743
1030,4917.29937987511,4262.1668354264,645.993637081056
1040,4924.6137483042,4268.98589118126,646.011961699192
1050,4931.87544657519,4275.86100900756,646.064448562009
1060,4939.0840450039,4282.7917820956,646.151097669505
1070,4946.23911704815,4289.77780034249,646.271909021681
1075,4949.79644824703,4293.29139734883,646.345125539524
1080,4953.34023933299,4296.8186503764,646.426882618537
1090,4960.38699167575,4303.91391558105,646.616018460072
1100,4967.37895711087,4311.06317612032,646.839316546288
1110,4974.31572191464,4318.26600896314,647.096776877184
1120,4981.19687562962,4325.52198790847,647.388399452759
1125,4984.61647095997,4329.16977312118,647.547021582302
1130,4988.02201108896,4332.83068361057,647.714184273014
1140,4994.79072444049,4340.19166360438,648.07413133795
1149.09323494056,5000.89635744986,4346.93019683521,648.431095780812
1150,5001.50261517059,4347.60449233108,648.46810020267
1175,5018.03114505936,4366.36051638645,649.488332000101
1200,5034.19594819267,4385.43090910163,650.508563797532
1225,5049.99104664707,4404.80861803394,651.528795594963
1242.6,5060.8858806894,4418.63098613405,652.247038780354
1250,5065.41059922003,4424.48647709176,652.549027392394
1258.7,5070.68746747002,4431.40344022444,652.9040680579
1275,5080.44890359004,4444.45720918462,653.569259189825
1300,5095.10039842538,4464.71342891436,654.589490987255
1317.63671277034,5105.20092560418,4479.17123708703,655.309232394074
1325,5109.37686291449,4485.23585137047,655.609722784686
1350,5123.55510009325,4505.82656749456,656.629954582117
1375,5137.73333727202,4526.41728361864,657.650186379548
1384.1,5142.89421560509,4533.91230428781,658.021550753813
1400,5151.91157445079,4547.00799974272,658.670418176979
1425,5166.08981162956,4567.59871586681,659.69064997441
1450,5180.26804880833,4588.18943199089,660.710881771841
1467.6,5190.24952778218,4602.68529614224,661.429124957232
1475,5194.4462859871,4608.78014811497,661.731113569272
1500,5208.62452316587,4629.37086423906,662.751345366703
1525,5222.80276034464,4649.96158036314,663.771577164134
1550,5236.9809975234,4670.55229648722,664.791808961564
1551.2,5237.66155290799,4671.54065086118,664.840780087841
1575,5251.15923470217,4691.1430126113,665.812040758995
1600,5265.33747188094,4711.73372873539,666.832272556426
1625,5279.51570905971,4732.32444485947,667.852504353857
1650,5293.69394623848,4752.91516098355,668.872736151288
1675,5307.87218341725,4773.50587710764,669.892967948719
1676.6,5308.77959059669,4774.82368293958,669.958262783755
1700,5322.05042059602,4794.09659323172,670.91319974615
1725,5336.22865777479,4814.6873093558,671.933431543581
1729.04857332803,5338.52472309,4818.02183032,672.09865087332
